Episode,Reward,Length,Epsilon,Loss,Total Steps,Timestamp
0,7.599999999999987,185,0.9995,1.007557373639051,185,2025-04-17 12:41:40
1,-2.750000000000009,76,0.9990002500000001,0.4104614298986761,261,2025-04-17 12:44:19
2,-0.7000000000000135,100,0.9985007498750001,0.33339488081634044,361,2025-04-17 12:44:54
3,13.200000000000067,244,0.9980014995000627,0.3201854004234564,605,2025-04-17 12:46:07
4,15.900000000000105,270,0.9975024987503127,0.27640994141499203,875,2025-04-17 12:47:27
5,-1.4000000000000146,92,0.9970037475009376,0.2809428728145102,967,2025-04-17 12:48:02
6,-4.650000000000003,58,0.9965052456271871,0.2759835720062256,1025,2025-04-17 12:48:27
7,29.30000000000026,423,0.9960069930043736,0.27390963776173605,1448,2025-04-17 12:50:28
8,16.950000000000127,289,0.9955089895078715,0.2356506950482984,1737,2025-04-17 12:51:54
9,5.2999999999999705,167,0.9950112350131176,0.26277542261484854,1904,2025-04-17 12:52:47
10,32.850000000000314,458,0.9945137293956111,0.2183381279352971,2362,2025-04-17 12:54:57
11,-8.9,12,0.9940164725309134,0.3652500510215759,2374,2025-04-17 12:55:09
12,-10,1,0.993519464294648,0.5791726112365723,2375,2025-04-17 12:55:18
