Episode,Reward,Length,Epsilon,Loss,Total Steps,Episode Time,Average Step Time,Average Learn Time,Timestamp
0,797.4000000000042,299,0.8955,2.5504648896740445,299,227.53159046173096,760.2613466639184,42.33260297063571,2025-04-17 18:09:59
1,-4.800000000000001,2,0.8910224999999999,1.751729667186737,301,1.4680144786834717,732.8406572341919,49.64315891265869,2025-04-17 18:12:47
2,0.40000000000000036,4,0.8865673875,0.321018123999238,305,2.7800519466400146,694.1295266151428,39.51692581176758,2025-04-17 18:12:54
3,19.60000000000001,11,0.8821345505625,0.44992862099950964,316,8.72429871559143,792.2775962136009,42.92271353981712,2025-04-17 18:13:08
4,-7.4,1,0.8777238778096875,0.5087934732437134,317,0.8249173164367676,823.4555721282959,43.19882392883301,2025-04-17 18:13:13
5,78.79999999999997,33,0.8733352584206391,0.19654552141825357,350,24.564232349395752,743.6244415514396,41.445450349287555,2025-04-17 18:13:43
6,84.99999999999996,35,0.8689685821285359,0.30140200299876074,385,26.2716543674469,749.8217787061419,41.23988151550293,2025-04-17 18:14:14
7,-7.4,1,0.8646237392178933,0.11687742918729782,386,0.7690308094024658,767.8060531616211,42.677879333496094,2025-04-17 18:14:19
8,135.99999999999986,55,0.8603006205218038,0.0715899101712487,441,41.43621563911438,752.649129520763,41.23450192538175,2025-04-17 18:15:06
9,-7.4,1,0.8559991174191948,0.05523715913295746,442,0.7695941925048828,767.9460048675537,40.712833404541016,2025-04-17 18:15:11
10,832.8000000000045,313,0.8388791350708109,0.03856230479852555,755,236.61112141609192,755.2062200662047,41.15474186004541,2025-04-17 18:19:12
11,31.60000000000001,16,0.8221015523693946,0.3513497768435627,771,11.647464275360107,727.2059470415115,42.07862913608551,2025-04-17 18:19:29
