Episode,Steps,Score,Coins,TotalReward,Epsilon,DurationSecs
2,1,1000053,0,-9.84,1.0000,1.5
3,1,1000034,0,-9.90,0.9999,1.5
6,1,1000033,0,-9.90,0.9998,1.5
7,1,1000034,0,-9.90,0.9997,1.5
8,1,1000045,0,-9.85,0.9996,1.0
9,1,1000033,0,-9.90,0.9995,1.5
10,1,1000033,0,-9.90,0.9994,1.5
13,1,1000052,0,-9.84,0.9993,1.5
16,1,1000052,0,-9.90,0.9992,1.5
17,1,1000052,0,-9.90,0.9991,1.5
18,1,1000044,0,-9.85,0.9990,1.0
19,1,1000045,0,-9.85,0.9989,0.9
22,1,1000052,0,-9.84,0.9988,1.4
23,1,1000053,0,-9.84,0.9987,1.5
24,1,1000033,0,-9.90,0.9986,1.4
25,1,1000044,0,-9.85,0.9985,1.5
28,1,1000033,0,-9.90,0.9984,1.4
29,1,1000033,0,-9.90,0.9983,1.4
